"Sector.x"	"Sector.y"	"overlap"	"n_s1"	"n_s2"	"p.val"	"adj.p.val"
"pySCA_1"	"Sca5_840_A"	3	32	25	0.995924758554735	1
"pySCA_1"	"Sca5_840_B"	4	32	22	0.951114103551421	1
"pySCA_1"	"Sca5_840_C"	8	32	22	0.309937434457488	1
"pySCA_1"	"SCA5_880_A"	6	32	26	0.869837674354694	1
"pySCA_1"	"SCA5_880_B"	7	32	20	0.381538057631196	1
"pySCA_1"	"SCA5_880_C"	8	32	25	0.488082552065705	1
"pySCA_1"	"Sca5_onPFAMrp55_A"	8	32	21	0.254576127879879	1
"pySCA_1"	"Sca5_onPFAMrp55_B"	7	32	27	0.775635407764131	1
"pySCA_1"	"Sca5_onPFAMrp55_C"	6	32	23	0.757084337033198	1
"pySCA_2"	"Sca5_840_A"	9	36	25	0.477208369614678	1
"pySCA_2"	"Sca5_840_B"	12	36	22	0.0206273272557734	0.18564594530196
"pySCA_2"	"Sca5_840_C"	6	36	22	0.831751338917494	1
"pySCA_2"	"SCA5_880_A"	10	36	26	0.355674085211396	1
"pySCA_2"	"SCA5_880_B"	10	36	20	0.0748907942319711	0.599126353855769
"pySCA_2"	"SCA5_880_C"	7	36	25	0.821578986837941	1
"pySCA_2"	"Sca5_onPFAMrp55_A"	8	36	21	0.405246584724966	1
"pySCA_2"	"Sca5_onPFAMrp55_B"	11	36	27	0.250344372061886	1
"pySCA_2"	"Sca5_onPFAMrp55_C"	8	36	23	0.540886021172677	1
"Sca5_840_A"	"pySCA_1"	3	25	32	0.995924758554735	1
"Sca5_840_A"	"pySCA_2"	9	25	36	0.477208369614678	1
"Sca5_840_A"	"Sca5_840_B"	4	25	22	0.821735251054413	1
"Sca5_840_A"	"Sca5_840_C"	8	25	22	0.0938543414841542	0.938543414841542
"Sca5_840_A"	"SCA5_880_A"	6	25	26	0.611115214751853	1
"Sca5_840_A"	"SCA5_880_B"	3	25	20	0.90340837096532	1
"Sca5_840_A"	"SCA5_880_C"	6	25	25	0.562747103530184	1
"Sca5_840_A"	"Sca5_onPFAMrp55_A"	4	25	21	0.786990332639276	1
"Sca5_840_A"	"Sca5_onPFAMrp55_B"	7	25	27	0.450684360247055	1
"Sca5_840_A"	"Sca5_onPFAMrp55_C"	5	25	23	0.677850412441139	1
"Sca5_840_B"	"pySCA_1"	4	22	32	0.951114103551421	1
"Sca5_840_B"	"pySCA_2"	12	22	36	0.0206273272557734	0.165018618046187
"Sca5_840_B"	"Sca5_840_A"	4	22	25	0.821735251054413	1
"Sca5_840_B"	"Sca5_840_C"	5	22	22	0.491353583214109	1
"Sca5_840_B"	"SCA5_880_A"	7	22	26	0.254782926222824	1
"Sca5_840_B"	"SCA5_880_B"	9	22	20	0.00541853285016885	0.0541853285016885
"Sca5_840_B"	"SCA5_880_C"	5	22	25	0.630638199771158	1
"Sca5_840_B"	"Sca5_onPFAMrp55_A"	5	22	21	0.44200946225548	1
"Sca5_840_B"	"Sca5_onPFAMrp55_B"	10	22	27	0.0175236045972215	0.157712441374993
"Sca5_840_B"	"Sca5_onPFAMrp55_C"	6	22	23	0.317662277439736	1
"Sca5_840_C"	"pySCA_1"	8	22	32	0.309937434457488	1
"Sca5_840_C"	"pySCA_2"	6	22	36	0.831751338917494	1
"Sca5_840_C"	"Sca5_840_A"	8	22	25	0.0938543414841543	0.750834731873234
"Sca5_840_C"	"Sca5_840_B"	5	22	22	0.491353583214109	1
"Sca5_840_C"	"SCA5_880_A"	5	22	26	0.672586332979677	1
"Sca5_840_C"	"SCA5_880_B"	3	22	20	0.838480061536825	1
"Sca5_840_C"	"SCA5_880_C"	19	22	25	4.0948495837025e-13	4.0948495837025e-12
"Sca5_840_C"	"Sca5_onPFAMrp55_A"	3	22	21	0.86526595398703	1
"Sca5_840_C"	"Sca5_onPFAMrp55_B"	4	22	27	0.872696102289435	1
"Sca5_840_C"	"Sca5_onPFAMrp55_C"	11	22	23	0.000756573249544156	0.00680915924589741
"SCA5_880_A"	"pySCA_1"	6	26	32	0.869837674354693	1
"SCA5_880_A"	"pySCA_2"	10	26	36	0.355674085211397	1
"SCA5_880_A"	"Sca5_840_A"	6	26	25	0.611115214751853	1
"SCA5_880_A"	"Sca5_840_B"	7	26	22	0.254782926222824	1
"SCA5_880_A"	"Sca5_840_C"	5	26	22	0.672586332979678	1
"SCA5_880_A"	"SCA5_880_B"	5	26	20	0.569913283126444	1
"SCA5_880_A"	"SCA5_880_C"	7	26	25	0.401520066124617	1
"SCA5_880_A"	"Sca5_onPFAMrp55_A"	3	26	21	0.936638334184932	1
"SCA5_880_A"	"Sca5_onPFAMrp55_B"	14	26	27	0.000269558970384944	0.00269558970384944
"SCA5_880_A"	"Sca5_onPFAMrp55_C"	6	26	23	0.508347053782086	1
"SCA5_880_B"	"pySCA_1"	7	20	32	0.381538057631196	1
"SCA5_880_B"	"pySCA_2"	10	20	36	0.074890794231971	0.599126353855768
"SCA5_880_B"	"Sca5_840_A"	3	20	25	0.90340837096532	1
"SCA5_880_B"	"Sca5_840_B"	9	20	22	0.00541853285016885	0.0487667956515196
"SCA5_880_B"	"Sca5_840_C"	3	20	22	0.838480061536825	1
"SCA5_880_B"	"SCA5_880_A"	5	20	26	0.569913283126444	1
"SCA5_880_B"	"SCA5_880_C"	5	20	25	0.526840793149153	1
